Letra,Sample_size,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,15,25,40,65,100,150,250,400
A,2,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15
B,3,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22
C,5,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,30 31
D,8,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,30 31,44 45
E,13,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,30 31,44 45,44 45
F,20,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,30 31,44 45,44 45
G,32,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,30 31,44 45,44 45
H,50,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,21 22,30 31,44 45,44 45
J,80,0 1,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,21 22,21 22,30 31,44 45,44 45
K,125,0 1,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,21 22,21 22,21 22,30 31,44 45,44 45
L,200,0 1,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,21 22,21 22,21 22,21 22,30 31,44 45,44 45
M,315,0 1,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,30 31,44 45,44 45
N,500,0 1,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,30 31,44 45,44 45
P,800,0 1,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,30 31,44 45,44 45
Q,1250,0 1,0 1,1 2,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,30 31,44 45,44 45
R,2000,0 1,0 1,1 2,2 3,3 4,5 6,7 8,10 11,14 15,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,21 22,30 31,44 45,44 45
